	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MKI67	190.45181011765	1.03336606467428	0.232195471603866	4.45041437516595	8.57047599851127e-06	1.99200758248867e-05
MRTFB	1183.97276226506	1.37143440207832	0.145626462728656	9.4174806994639	4.62040661446575e-21	5.92753082099351e-20
MKNK2	2893.31016035718	-1.00159323783871	0.124733402421456	-8.02987185785625	9.75745265031654e-16	6.74975747301712e-15
MKRN2OS	4.58821458648281	2.26541254807078	0.91803330083255	2.46768014408226	0.0135991775031518	0.0209959398126549
MLANA	177.507763972387	-1.32202928906548	0.382797342867726	-3.45360100768071	0.000553155109669171	0.00103247565792151
MLF1	316.737867455653	1.1228625535671	0.288839640288746	3.88749464043301	0.000101284223355163	0.000206707433149676
Mlf2	4440.46303201706	-1.17335605867044	0.11696482342164	-10.0317003381494	1.10595418637066e-23	2.0108495620276e-22
MLH3	270.599581959078	1.1426379922758	0.158561098899067	7.20629460951928	5.74949388957857e-13	2.92649619488741e-12
MLLT10	885.934600966408	1.66019565780962	0.20381914696454	8.14543521810765	3.77920130674413e-16	2.75244670929632e-15
MLPH	425.155068236075	-1.26099436846495	0.432579942123983	-2.91505510466672	0.00355625744777204	0.00595821283755903
MMAB	589.297094151755	-1.03005821727214	0.181217729733652	-5.68409183133508	1.31509603257406e-08	4.14354919562766e-08
Mme	742.524732674425	1.1866156081783	0.138006428650069	8.59826328226422	8.09314634568688e-18	7.11771166891684e-17
MMGT1	110.6085247219	1.10625587714348	0.181658657037981	6.08975038779563	1.13086868049975e-09	3.99885564217176e-09
MMP12	5.28495505496558	-2.36908069467339	0.951086332735278	-2.49092076411195	0.0127412530947775	0.0197566486999867
MMP23	489.599426203791	-1.1869988710364	0.182766691301869	-6.49461268123459	8.32473023147163e-11	3.3398800318335e-10
MMP3	89.5682115693168	1.05858840318526	0.287435057588817	3.68287853286011	0.000230615061271332	0.000449825116976367
MMP7	7.12608143841593	1.91391800388169	0.765961128964578	2.49871427087809	0.0124644764496423	0.0193469804993337
MMP9	61.7257340707802	-2.50709299942265	0.380290160074123	-6.59257920040315	4.3225045397427e-11	1.78685205133895e-10
MMRN1	64.0666737255487	1.71901802597781	0.49164350013537	3.49647259753153	0.000471452912702805	0.00088675577197292
MMRN2	3531.0185720937	-1.07274721408536	0.162969825245207	-6.58248981043754	4.62634520200101e-11	1.90579651572522e-10
MMS22L	399.949127373366	1.40932385474881	0.180040212168575	7.82782822666989	4.96369470616002e-15	3.1773429866897e-14
MNS1	23.3843707897629	1.38800225166418	0.436619304132298	3.17897591455004	0.00147796371575123	0.00260233950042186
MOB1A	603.64772138853	2.29844747761042	0.308013889899917	7.4621552890269	8.51184800235984e-14	4.76973573669578e-13
Mob2	1748.54873965116	-1.06299612798414	0.168568491521723	-6.30601910468631	2.86303711123346e-10	1.08136846360567e-09
MOB3A	2295.1484606699	-1.20766187258695	0.116903137412909	-10.3304487741968	5.13199168530318e-25	1.11340333008933e-23
MON1A	798.58786351416	-1.03566910122423	0.131686398304476	-7.86466267252321	3.70093370134791e-15	2.40404401157659e-14
Mon2	513.86369599084	3.00541546132385	0.54447631701146	5.51982770861381	3.39332205009205e-08	1.01905661410613e-07
MORC3	1169.62225657823	1.48276493960044	0.185730245635106	7.98343282500981	1.42318778558228e-15	9.69507285997633e-15
