	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
URB2	285.899813908655	0.0374842599523756	0.150620504097392	0.248865585578828	0.80346475663395	0.837323501798334	NOT
URGCP	1206.7788711378	-0.438663503456135	0.09191952462732	-4.77225600583401	1.82173737603186e-06	4.55567620193824e-06	NOT
URI1	918.955859814864	1.23679011953617	0.14782808196358	8.36640848685892	5.94010150053278e-17	4.73668435879706e-16	UP
URM1	2140.62012123667	-0.874311389157402	0.145972655715865	-5.98955595395377	2.10414732532027e-09	7.28143850575396e-09	NOT
UROD	1320.87482161553	-0.43530083570275	0.158556245034191	-2.7454032832884	0.00604365786717257	0.00980835042338557	NOT
UROS	261.374736045876	-0.648282958927753	0.190251691980116	-3.40750167412707	0.000655605063539446	0.00121106245795169	NOT
USB1	1218.49527102041	-0.276363619875616	0.10000845570449	-2.76340253360404	0.00572021734052635	0.00932376635922181	NOT
Use1	1497.77172381282	-0.809367840620068	0.116010584275947	-6.97667239305401	3.02253398207328e-12	1.42005551961672e-11	NOT
USF1	3038.8865124319	-1.25093373814885	0.14844013016074	-8.42719375679784	3.54053344568226e-17	2.90766072939053e-16	DOWN
Usf2	4464.68450371519	-0.949709694408109	0.119443356774078	-7.95113031028124	1.84817414295581e-15	1.24305267454947e-14	NOT
USF3	145.673589483731	3.0186453555246	0.365173643579004	8.26632865926298	1.38147373229327e-16	1.05720542040473e-15	UP
Ush1c	771.319562351853	-0.166359096775668	0.169032573595712	-0.984183659023977	0.325025218885604	0.383517790495425	NOT
USH1G	8.93009532748501	-1.08590858074806	0.749688561875883	-1.44847959001919	0.147482970004579	0.188702632225124	NOT
USH2A	3.16057765130112	-1.0835237736388	1.01377715126072	-1.06879877129934	0.285160353120755	0.341961218656229	NOT
USHBP1	290.595258976557	-0.637454691053412	0.237357867876631	-2.68562696807142	0.00723938632687491	0.0115996083833323	NOT
USO1	1690.39228784601	0.635433920046498	0.12077051586682	5.26149876470863	1.42885849453473e-07	4.0239292132796e-07	NOT
USP1	1140.60979927614	0.341321126964338	0.0967464509864739	3.52799636042523	0.000418717913808356	0.000791978067183731	NOT
USP10	1012.90301167568	-0.823008607742694	0.104294401161283	-7.89120603386921	2.99280084960964e-15	1.96731891746562e-14	NOT
USP11	153.525069849831	0.431659004448568	0.164483949169532	2.62432296055624	0.00868214158986255	0.0137537283146515	NOT
USP12	1399.23934088392	0.68740788446753	0.112387431514122	6.11641244226811	9.57054319083479e-10	3.41643293946207e-09	NOT
USP13	943.06701327178	0.484836984361482	0.127227711584077	3.81078130169059	0.000138528279759941	0.000277960083389956	NOT
USP14	743.464269906464	0.276051368371686	0.114752346414475	2.40562722242395	0.0161447294526415	0.0246532848731116	NOT
USP15	784.885685220421	1.24065132312028	0.149565536773001	8.29503473787046	1.08553478677441e-16	8.40347060400801e-16	UP
USP16	1162.07773850793	1.40211265852356	0.110997030778656	12.6319834745811	1.40686678815462e-36	1.02077476110351e-34	UP
USP18	3340.53308234262	-1.2927796135199	0.364729894965631	-3.54448492258009	0.000393381003183593	0.000746574533124002	DOWN
Usp19	2395.84654008483	0.353305887124343	0.0881542762976734	4.00781336949922	6.128351729446e-05	0.000128620966437902	NOT
Usp2	648.1787087703	-0.623637561417301	0.207716090588596	-3.00235556932603	0.00267899062972511	0.00456196544519336	NOT
USP20	1822.05372791559	-0.827892255862909	0.140687059390164	-5.88463686320243	3.98928906010073e-09	1.33080122148058e-08	NOT
Usp21	720.198892352536	-0.189505590107373	0.106335816592375	-1.78214261365781	0.0747259781592904	0.101909300119355	NOT
USP22	4824.29171605819	0.0648864818927154	0.0860688953238484	0.753890027850006	0.450915259013061	0.511762538125567	NOT
usp22-a	121.503167034674	0.76502973529394	0.22634436152858	3.37993723425419	0.00072502384909472	0.00133209709111025	NOT
USP24	1845.06094162921	0.408013870960152	0.0861582918991467	4.73563091800562	2.18374683207039e-06	5.41605833132969e-06	NOT
USP25	686.553895109037	1.51304978650345	0.137058613475418	11.0394359620077	2.46576100719795e-28	7.58566716254376e-27	UP
USP28	2209.07811360613	0.947800863998017	0.112796062045625	8.40278327814884	4.36018923724363e-17	3.53549978109022e-16	NOT
USP3	1014.59105890653	-0.314438485965422	0.129292596063882	-2.4319914329051	0.0150160624825025	0.023033214310516	NOT
USP30	419.331411792931	0.764490776384894	0.133241998969651	5.73761113084941	9.60212731140427e-09	3.06558576803696e-08	NOT
USP31	187.176593802887	1.0932545893558	0.180893962377312	6.0436212186865	1.50693060766128e-09	5.27288594336802e-09	UP
USP32	592.815488968209	1.77582520994508	0.219737365062287	8.08158052428501	6.39326902444346e-16	4.52976803933622e-15	UP
USP33	856.981891942926	1.55160785948387	0.118162652914655	13.1311190228992	2.18405046274407e-39	2.06104688453554e-37	UP
Usp34	2915.46310341117	1.40304631099231	0.079837484006751	17.573779139554	3.91221350038649e-69	2.61642035056283e-66	UP
USP35	524.842186401846	0.235415437649106	0.15204700164976	1.54830700437872	0.12154839886122	0.158378438905827	NOT
USP36	1057.45868354718	0.256125131501464	0.125338478130605	2.04346769899804	0.0410061617558995	0.0586477712811944	NOT
USP37	105.189513227648	2.13723672098693	0.248393061325745	8.60425291101083	7.68154370407012e-18	6.79066122160958e-17	UP
USP38	402.029131040338	0.937733550124761	0.172161789236368	5.44681577883293	5.12795248310914e-08	1.50962995397483e-07	NOT
Usp39	727.353572585216	-0.614955251392774	0.101082671916908	-6.08368615244245	1.17450407096443e-09	4.14838613537883e-09	NOT
USP4	1409.82975381223	-0.145735220535414	0.0925315126555601	-1.57497933788136	0.115261213923282	0.15103058118817	NOT
USP40	1687.71627025974	0.354078371215411	0.127916736570707	2.76803787141404	0.00563949019951142	0.00919705664216334	NOT
Usp42	16.8517387425445	2.23147682868431	0.630317358711274	3.54024333590736	0.00039975826093674	0.000757929442836058	UP
USP42	484.169825643192	1.25419769941667	0.155302412346367	8.07584171081299	6.70127652597655e-16	4.72839612488859e-15	UP
USP43	44.6990396490514	0.506121541157567	0.361179040303691	1.40130374324048	0.161123262317056	0.204319704943194	NOT
USP44	83.1964109722086	0.416322261413046	0.280494329723134	1.48424483954447	0.137743978105042	0.17737780420358	NOT
USP45	95.4180792680171	2.23240229448975	0.238115963393731	9.3752735544169	6.89966183091886e-21	8.70636573282969e-20	UP
USP46	722.407449327497	0.916105125324408	0.136861432083725	6.69366900065742	2.17643410225252e-11	9.30976344851175e-11	NOT
USP47	2768.15575701826	1.10873315765361	0.100281214761069	11.0562397982043	2.04491736347772e-28	6.32895752213568e-27	UP
