category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Endocrine and metabolic disease	mmu04940	Type I diabetes mellitus	2/270	67/10692	0.0298507462686567	1.18208955223881	0.240643132585144	0.50766050682568	0.764054702192185	0.653130476617834	14961/15042	2
Human Diseases	Substance dependence	mmu05031	Amphetamine addiction	2/270	69/10692	0.0289855072463768	1.14782608695652	0.198274812607551	0.523429743543093	0.783829465205234	0.670034371528318	231991/21823	2
Human Diseases	Cancer: overview	mmu05207	Chemical carcinogenesis - receptor activation	6/270	231/10692	0.025974025974026	1.02857142857143	0.0706588975304463	0.530425633810673	0.790334194377903	0.675594754643068	54485/14679/23834/11799/231991/13078	6
Human Diseases	Neurodegenerative disease	mmu05012	Parkinson disease	7/270	274/10692	0.0255474452554745	1.01167883211679	0.0315208581664675	0.541727329611619	0.793305605481883	0.678134781090129	14679/14680/18024/19181/19173/21823/13198	7
Human Diseases	Cancer: specific types	mmu05218	Melanoma	2/270	72/10692	0.0277777777777778	1.1	0.137031213051304	0.546441359494618	0.793305605481883	0.678134781090129	18595/17295	2
Human Diseases	Cancer: specific types	mmu05223	Non-small cell lung cancer	2/270	72/10692	0.0277777777777778	1.1	0.137031213051304	0.546441359494618	0.793305605481883	0.678134781090129	234779/17295	2
Metabolism	Carbohydrate metabolism	mmu00640	Propanoate metabolism	1/270	31/10692	0.032258064516129	1.27741935483871	0.248962619646865	0.547971915161479	0.793305605481883	0.678134781090129	380660	1
Organismal Systems	Nervous system	mmu04725	Cholinergic synapse	3/270	114/10692	0.0263157894736842	1.04210526315789	0.072744898592797	0.552811765160378	0.793305605481883	0.678134781090129	14679/60613/231991	3
Genetic Information Processing	Folding, sorting and degradation	mmu04120	Ubiquitin mediated proteolysis	4/270	156/10692	0.0256410256410256	1.01538461538462	0.0311549152359242	0.558335389160912	0.793305605481883	0.678134781090129	67923/22209/218793/67673	4
Organismal Systems	Digestive system	mmu04972	Pancreatic secretion	3/270	115/10692	0.0260869565217391	1.03304347826087	0.0573414851071674	0.558757425332093	0.793305605481883	0.678134781090129	109905/19353/11933	3
Organismal Systems	Environmental adaptation	mmu04714	Thermogenesis	6/270	238/10692	0.0252100840336134	0.998319327731093	-0.0042203238419713	0.559818601852298	0.793305605481883	0.678134781090129	83796/19094/83766/76947/29857/231991	6
Cellular Processes	Cell growth and death	mmu04110	Cell cycle	4/270	157/10692	0.0254777070063694	1.00891719745223	0.018116589837349	0.563414368474961	0.793305605481883	0.678134781090129	23834/218294/66591/22628	4
Human Diseases	Cancer: specific types	mmu05214	Glioma	2/270	75/10692	0.0266666666666667	1.056	0.0783309263273413	0.568668088082845	0.793305605481883	0.678134781090129	234779/18595	2
Metabolism	Carbohydrate metabolism	mmu00052	Galactose metabolism	1/270	33/10692	0.0303030303030303	1.2	0.185201392152889	0.570579114622004	0.793305605481883	0.678134781090129	14187	1
Metabolism	Carbohydrate metabolism	mmu00630	Glyoxylate and dicarboxylate metabolism	1/270	33/10692	0.0303030303030303	1.2	0.185201392152889	0.570579114622004	0.793305605481883	0.678134781090129	20425	1
Metabolism	Xenobiotics biodegradation and metabolism	mmu00980	Metabolism of xenobiotics by cytochrome P450	2/270	76/10692	0.0263157894736842	1.04210526315789	0.0592895616819576	0.575900681309749	0.793305605481883	0.678134781090129	12408/13078	2
Human Diseases	Cancer: specific types	mmu05212	Pancreatic cancer	2/270	76/10692	0.0263157894736842	1.04210526315789	0.0592895616819576	0.575900681309749	0.793305605481883	0.678134781090129	19353/56044	2
Human Diseases	Immune disease	mmu05320	Autoimmune thyroid disease	2/270	76/10692	0.0263157894736842	1.04210526315789	0.0592895616819576	0.575900681309749	0.793305605481883	0.678134781090129	14961/15042	2
Genetic Information Processing	Folding, sorting and degradation	mmu04130	SNARE interactions in vesicular transport	1/270	34/10692	0.0294117647058824	1.16470588235294	0.154819700498149	0.581456649010976	0.793305605481883	0.678134781090129	22319	1
Organismal Systems	Environmental adaptation	mmu04710	Circadian rhythm	1/270	34/10692	0.0294117647058824	1.16470588235294	0.154819700498149	0.581456649010976	0.793305605481883	0.678134781090129	18143	1
Metabolism	Carbohydrate metabolism	mmu00562	Inositol phosphate metabolism	2/270	77/10692	0.025974025974026	1.02857142857143	0.0404979305640179	0.583044688441264	0.793305605481883	0.678134781090129	234779/18718	2
Organismal Systems	Immune system	mmu04650	Natural killer cell mediated cytotoxicity	3/270	120/10692	0.025	0.99	-0.0177307684474091	0.587763004366614	0.793305605481883	0.678134781090129	16797/234779/19353	3
Organismal Systems	Endocrine system	mmu04919	Thyroid hormone signaling pathway	3/270	120/10692	0.025	0.99	-0.0177307684474091	0.587763004366614	0.793305605481883	0.678134781090129	13371/234779/11933	3
Human Diseases	Endocrine and metabolic disease	mmu04934	Cushing syndrome	4/270	162/10692	0.0246913580246914	0.977777777777778	-0.0458718568518006	0.588323955743276	0.793305605481883	0.678134781090129	14679/109905/21414/231991	4
Metabolism	Lipid metabolism	mmu01040	Biosynthesis of unsaturated fatty acids	1/270	35/10692	0.0285714285714286	1.13142857142857	0.125349278649059	0.592059642515108	0.793667464821222	0.678444106276	30049	1
Human Diseases	Infectious disease: viral	mmu05160	Hepatitis C	4/270	164/10692	0.024390243902439	0.965853658536585	-0.0709265241666137	0.598054027371977	0.793667464821222	0.678444106276	60363/21937/18035/22628	4
Genetic Information Processing	Translation	mmu03010	Ribosome	8/270	331/10692	0.0241691842900302	0.957099697885196	-0.127611267722373	0.601004734687317	0.793667464821222	0.678444106276	24030/67212/218506/121022/66481/64655/94066/17725	8
Metabolism	Carbohydrate metabolism	mmu00040	Pentose and glucuronate interconversions	1/270	36/10692	0.0277777777777778	1.1	0.0967318863407362	0.602394999230968	0.793667464821222	0.678444106276	14187	1
Human Diseases	Immune disease	mmu05340	Primary immunodeficiency	1/270	36/10692	0.0277777777777778	1.1	0.0967318863407362	0.602394999230968	0.793667464821222	0.678444106276	170767	1
Cellular Processes	Cell growth and death	mmu04114	Oocyte meiosis	3/270	123/10692	0.024390243902439	0.965853658536585	-0.0613049155013894	0.604572196357105	0.793667464821222	0.678444106276	19094/29857/22628	3
Metabolism	Metabolism of cofactors and vitamins	mmu00670	One carbon pool by folate	1/270	37/10692	0.027027027027027	1.07027027027027	0.0689146050179835	0.612469450263967	0.797012647068394	0.681303640376374	20425	1
Human Diseases	Cancer: specific types	mmu05216	Thyroid cancer	1/270	37/10692	0.027027027027027	1.07027027027027	0.0689146050179835	0.612469450263967	0.797012647068394	0.681303640376374	21414	1
Organismal Systems	Immune system	mmu04623	Cytosolic DNA-sensing pathway	2/270	82/10692	0.024390243902439	0.965853658536585	-0.0499584465549787	0.617432722138394	0.798133674537846	0.682261918891412	23983/18035	2
Human Diseases	Infectious disease: viral	mmu05168	Herpes simplex virus 1 infection	5/270	211/10692	0.023696682464455	0.938388625592417	-0.145484349520313	0.620022568140901	0.798133674537846	0.682261918891412	21937/14961/18035/15042/17874	5
Organismal Systems	Excretory system	mmu04960	Aldosterone-regulated sodium reabsorption	1/270	38/10692	0.0263157894736842	1.04210526315789	0.0418492183314132	0.622289558047049	0.798133674537846	0.682261918891412	11933	1
Genetic Information Processing	Folding, sorting and degradation	mmu03018	RNA degradation	2/270	83/10692	0.0240963855421687	0.95421686746988	-0.0673942489993018	0.62404411465543	0.798133674537846	0.682261918891412	66583/12228	2
Metabolism	Amino acid metabolism	mmu00250	Alanine, aspartate and glutamate metabolism	1/270	39/10692	0.0256410256410256	1.01538461538462	0.0154916792254202	0.631861720551957	0.801254437125461	0.684929614215335	11565	1
