	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
Gm3294	-0.0165344468743185	2.51566065749045	-0.321544962618309	0.754240670455182	0.999697470640244	-5.45500530308885	NOT
A730035I17Rik	-0.0105729980721104	0.0727815698735104	-0.321532060459403	0.754250166554	0.999697470640244	-5.45500906923512	NOT
Pigb	-0.0209766292094419	2.81980987039486	-0.321524117275823	0.754256012826037	0.999697470640244	-5.45501138778074	NOT
1700003N22Rik	-0.00745410029142108	0.0206309165661014	-0.321470831089576	0.754295232475009	0.999697470640244	-5.4550269401045	NOT
Tpm3-rs7	0.0206759912680731	2.64320214383063	0.32145223987835	0.754308916132659	0.999697470640244	-5.45503236561877	NOT
Kptn	0.0396355773367492	2.59202914025755	0.321428119712505	0.754326669389793	0.999697470640244	-5.45503940420331	NOT
Grk2	-0.0244397113922386	4.09960678479796	-0.321419787515714	0.754332802202942	0.999697470640244	-5.45504183552903	NOT
Osmr	0.0366169206130573	1.87864529356645	0.321358965229802	0.754377570254825	0.999697470640244	-5.45505958153915	NOT
Gm10549	0.0456540792504008	1.15738116577136	0.321285472953041	0.754431665281806	0.999697470640244	-5.45508101987307	NOT
Gm3716	-0.0231354162087171	0.464329504620745	-0.321271208663525	0.754442164874125	0.999697470640244	-5.45508518033486	NOT
mt-Co1	0.0335633928043107	11.3141090820572	0.321269696419702	0.754443278002635	0.999697470640244	-5.45508562140007	NOT
Gm10578	0.0080077257584039	0.0162177765039021	0.321256512083974	0.754452982719168	0.999697470640244	-5.45508946669386	NOT
Adat1	0.0254373303091656	2.22112157219788	0.321238239566081	0.754466432815068	0.999697470640244	-5.45509479573286	NOT
Tie1	-0.02126076700341	0.99150291307203	-0.321200308091925	0.754494353814865	0.999697470640244	-5.45510585720961	NOT
Amotl2	-0.028106546479393	3.94166685761245	-0.321164931054657	0.754520394850873	0.999697470640244	-5.4551161726182	NOT
