ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
MF	GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process	4/656	62/28409	0.0645161290322581	2.79396144767899	2.17406577966874	0.0550143146814026	0.380846818953039	0.35006686565439	Tnfaip8/Birc5/Ctsk/Ctss	4
MF	GO:0050660	flavin adenine dinucleotide binding	5/656	89/28409	0.0561797752808989	2.43294395724856	2.081588431836	0.0553116878668632	0.380846818953039	0.35006686565439	Acadm/Nos3/Mical1/Gfer/Txnrd3	5
MF	GO:0008574	plus-end-directed microtubule motor activity	2/656	17/28409	0.117647058823529	5.09487087517934	2.59647389523606	0.0575985659651836	0.380846818953039	0.35006686565439	Kif14/Kif11	2
MF	GO:0032977	membrane insertase activity	2/656	17/28409	0.117647058823529	5.09487087517934	2.59647389523606	0.0575985659651836	0.380846818953039	0.35006686565439	Mmgt1/Timm10	2
MF	GO:0016860	intramolecular oxidoreductase activity	4/656	63/28409	0.0634920634920635	2.74961285327139	2.13738927251592	0.0577182947235919	0.380846818953039	0.35006686565439	Ebp/Qsox2/Mpi/Pdia5	4
MF	GO:0038187	pattern recognition receptor activity	4/656	63/28409	0.0634920634920635	2.74961285327139	2.13738927251592	0.0577182947235919	0.380846818953039	0.35006686565439	Trim12c/Trim12a/Mgl2/Tlr4	4
MF	GO:1901682	sulfur compound transmembrane transporter activity	4/656	63/28409	0.0634920634920635	2.74961285327139	2.13738927251592	0.0577182947235919	0.380846818953039	0.35006686565439	Slc25a13/Abcg2/Slc13a3/Slc7a11	4
MF	GO:0001217	DNA-binding transcription repressor activity	12/656	312/28409	0.0384615384615385	1.6656308630394	1.81759890870331	0.0598544909413195	0.380846818953039	0.35006686565439	Zfp433/Tbx18/Cc2d1a/Zc3h8/Klf8/Mypop/Zbtb25/Etv6/Tcf7/Zfp512b/Atf3/Kcnip3	12
MF	GO:0043022	ribosome binding	6/656	120/28409	0.05	2.16532012195122	1.96672823320233	0.0599885880414791	0.380846818953039	0.35006686565439	C1qbp/Mrps27/Rps21/Pelo/Mcts1/Eif1b	6
MF	GO:0018455	alcohol dehydrogenase [NAD(P)+] activity	4/656	64/28409	0.0625	2.70665015243902	2.10142329230541	0.0604921684430872	0.380846818953039	0.35006686565439	Akr1b8/Cbr1/Rdh8/Rdh9	4
