SYMBOL	logFC	P.Value	padj	change
EARS2	0.37114809604825	0.0727621659156675	0.0964083993013573	NOT
Ebag9	0.639010534320045	4.32853226720584e-08	1.23334323881695e-07	NOT
EBF1	0.779930683600329	2.28065098219862e-05	4.84055865300889e-05	NOT
EBF2	1.73060174222449	1.19525522823824e-05	2.62174124486874e-05	UP
Ebf3	0.585090575911967	0.000949755212027378	0.00165054655191044	NOT
EBF4	-0.931581488915735	1.22238684155752e-08	3.69193863632574e-08	NOT
EBI3	-0.876379288197971	0.36693536806535	0.419126178976163	NOT
EBNA1BP2	-0.378022594376396	8.33851000867342e-05	0.000165036040705678	NOT
EBP	-0.852383115866879	1.65553894487699e-12	7.65784100842911e-12	NOT
EBPL	-0.437701400382581	4.19297255566911e-05	8.63352012404732e-05	NOT
ECD	-0.0839493237984497	0.540961320753898	0.591572425119783	NOT
ECE1	-0.363972119386974	0.00322194437595201	0.00522733188403741	NOT
Ecel1	-0.985561499166235	0.0143878687160698	0.0213130599950537	NOT
Ech1	-0.95994866224227	5.70673261349803e-12	2.48245393045442e-11	NOT
ECHDC1	0.896030477975665	9.11180525872227e-29	2.74302529329413e-27	NOT
ECHDC2	-1.06429186251456	3.50913474236297e-18	3.07200276466446e-17	DOWN
Echdc3	-0.515389985329546	0.000460060222949395	0.000832578622098703	NOT
Echs1	-0.53615509188104	1.59808495448615e-06	3.85815894658351e-06	NOT
ECI1	-0.942558804469856	1.72189516676752e-11	7.10878130562208e-11	NOT
Eci2	-0.956863967737873	8.15314767709731e-11	3.12625633961171e-10	NOT
ECM1	-1.30057836255588	1.3174273307125e-15	8.5047573546346e-15	DOWN
ECM2	1.48558303341559	1.50840346709417e-16	1.08697897132907e-15	UP
ECPAS	0.529096611843236	1.14865126013063e-12	5.38067790987201e-12	NOT
ECRG4	-1.15211340991866	1.58091940313527e-08	4.71685722403891e-08	DOWN
ECSCR	-0.359439459678363	0.015941101436777	0.0234888809603333	NOT
ECSIT	-1.49171616991957	6.77687265663115e-23	1.04566577989504e-21	DOWN
ECT2	1.94839580704275	1.85380053879874e-05	3.97693597263237e-05	UP
ECT2L	1.99955275182378	0.00746160134477134	0.0114867544809771	UP
EDA	0.162212138561544	0.330547062614284	0.381078524472317	NOT
Edaradd	0.0987293331883431	0.930788830488231	0.942481194297906	NOT
EDC3	-0.231481041779815	0.0200941367267998	0.0291396589517326	NOT
Edc4	-0.0712979283739213	0.470300770993292	0.522591839768139	NOT
EDEM1	2.29912795561944	1.07590518264854e-18	9.99412931312882e-18	UP
EDEM2	-0.225515668824665	0.0315361408178925	0.0443756189263314	NOT
EDEM3	1.80520435143853	4.09997602883695e-26	9.53923444816622e-25	UP
Edf1	-1.60424128620175	1.4089552197361e-21	1.81040927232816e-20	DOWN
EDIL3	0.717173214972795	0.0015412677173616	0.00260069092871207	NOT
EDN1	1.02829042385376	2.85402920606044e-07	7.47908772758885e-07	UP
Edn3	-0.569080951312161	0.0116162203886695	0.0174278749952465	NOT
EDNRA	0.388222011996512	0.000520022258063713	0.000935811678504067	NOT
EDNRB	1.61029288686169	1.75229275287676e-14	1.00108715715279e-13	UP
EDRF1	1.08810664182589	1.00834540013718e-11	4.2815495099089e-11	UP
EEA1	2.91692853704095	1.18277153671831e-29	3.89443369154728e-28	UP
EED	0.437500121300259	0.000819583115186446	0.00143582785417046	NOT
EEF1A1	-0.475866111668835	6.98965182157318e-06	1.57315157186491e-05	NOT
EEF1A2	-1.12493036245034	7.37077370424299e-07	1.84375585740696e-06	DOWN
EEF1AKMT1	-0.283085271368601	0.145739942162303	0.181663840361343	NOT
Eef1akmt2	1.36903602104008	1.03101703290027e-14	6.05676314309516e-14	UP
EEF1AKMT3	0.185131433511803	0.423632829567428	0.475933577223848	NOT
EEF1AKMT4-ECE2	-0.841387447019973	2.52491303255603e-09	8.26014463145576e-09	NOT
EEF1AKNMT	-0.690795282303803	1.08678782581564e-05	2.39629405360337e-05	NOT
EEF1B2	-1.47415929230149	2.16289915249935e-20	2.43735106176607e-19	DOWN
Eef1d	-1.30670264663976	1.46142564037139e-13	7.55078445573322e-13	DOWN
EEF1E1	0.269312352833666	0.0531946281125673	0.0722602412089953	NOT
EEF1G	-1.45470440566316	4.62896690281741e-26	1.06192676179564e-24	DOWN
EEF2	-1.27847721013496	1.78224379779123e-23	2.97067792330876e-22	DOWN
EEF2K	0.242641300142263	0.00195541279423072	0.00325776983597215	NOT
EEF2KMT	-0.792686376063719	1.05955781024319e-09	3.6029362053705e-09	NOT
EEFSEC	-1.2513640213218	3.92921873180053e-13	1.94170537731289e-12	DOWN
EEPD1	-0.0226872733272097	0.88426851008845	0.903501059244631	NOT
EFCAB1	2.28996030065773	9.94906532285132e-06	2.20325270345864e-05	UP
Efcab10	-1.93707024175043	0.000875083369423175	0.0015276159505753	DOWN
EFCAB11	-0.0297820544149145	0.901634761522453	0.918192224177957	NOT
EFCAB14	1.17221569938261	1.34579644507781e-20	1.55822946321371e-19	UP
Efcab2	-0.059161065335015	0.697723993852075	0.738210201786828	NOT
EFCAB5	1.92271279474179	0.00153945329469414	0.00259792650154825	UP
EFCAB6	-0.269761798728599	0.324462015688945	0.374971732484145	NOT
EFCAB7	0.970245947739998	1.0538071488329e-08	3.20575567177442e-08	NOT
Efcab9	0.059994588895333	0.937644771096415	0.948562303152588	NOT
EFCC1	0.25748890698697	0.162390296701648	0.200369658439649	NOT
EFEMP1	0.284718614574861	0.0752028284255367	0.0993388485810953	NOT
EFEMP2	-0.244611370289613	0.0313505393019317	0.044135503458942	NOT
EFHB	2.58224333307773	0.0568916696812746	0.0768788035423673	NOT
EFHC1	0.77495764998652	0.000164361723690032	0.000313202401001378	NOT
EFHC2	1.9021488123465	3.09719089713287e-05	6.47567425343647e-05	UP
EFHD1	-0.855193231357323	0.417735193825997	0.469772954496248	NOT
EFHD2	-1.07305988572106	4.31113377679421e-32	1.93293417451342e-30	DOWN
EFL1	-0.224871468368775	0.0467558319038145	0.0640564016358473	NOT
Efna1	-0.179131249674154	0.167524044026402	0.20625550233148	NOT
EFNA2	0.581717285671038	0.000697155433289962	0.00123424625497602	NOT
EFNA3	-0.573061113699055	0.0740653951083933	0.097994317270061	NOT
Efna4	-0.775468951738013	0.000304784336001152	0.000563322107549555	NOT
EFNA5	0.0989547651521664	0.508028007611525	0.559456598751594	NOT
EFNB1	-0.0369489953454671	0.671474532005908	0.714537644035431	NOT
Efnb2	0.673310231278056	9.48563069015118e-05	0.000186662937980816	NOT
EFNB3	-0.464387225785529	0.00229929975506651	0.0038019247491297	NOT
EFR3A	1.26843554098675	5.75670443387732e-19	5.48560381809589e-18	UP
EFR3B	0.350046463979771	0.0701638064564548	0.093326087379546	NOT
Efs	-0.172839118474187	0.100160555698531	0.12907035529912	NOT
EFTUD2	-0.891232866771222	5.39826744470888e-10	1.89279398804137e-09	NOT
EGF	0.526110165006854	0.0202145362111848	0.029299854932808	NOT
Egfem1	0.58290099658905	0.434735279664241	0.48696029389682	NOT
EGFL6	-0.358951804203434	0.0271895074427329	0.0387060822512791	NOT
Egfl7	-0.312329391278069	0.10634124822085	0.136450917928476	NOT
EGFL8	-1.2987074018756	8.58471751354978e-14	4.56829610542471e-13	DOWN
EGFLAM	0.130842828457241	0.446496888819328	0.498499460745498	NOT
EGFR	0.55574345549727	0.000639455659738643	0.00113741835726573	NOT
Egln1	0.622089799932382	4.289071533146e-07	1.10319257516018e-06	NOT
Egln2	-0.912568563206392	1.94065998231132e-11	7.96291388013194e-11	NOT
Egln3	-0.0975299510892948	0.517776751512426	0.568918053002592	NOT
Egr1	-0.385427494724804	0.120209460108429	0.152481704880853	NOT
EGR2	0.763093499647416	0.00538552113417306	0.00846837461360055	NOT
Egr3	0.407220094699138	0.320823348293003	0.371261097565709	NOT
EHBP1	1.00534280737851	6.73687010707909e-24	1.19012659819789e-22	UP
Ehbp1l1	-0.0302273056152681	0.793179318441285	0.823261196617464	NOT
EHD1	-0.723607925722904	1.21788220711298e-15	7.91060345095711e-15	NOT
EHD2	-1.08227188522	4.97867174785193e-18	4.26978993910254e-17	DOWN
EHD3	-0.0108567363023876	0.925408195108193	0.937998782796739	NOT
Ehd4	0.144630267737116	0.439826003360206	0.492064723213227	NOT
EHF	-0.694932598750651	0.457720246489771	0.509803032012278	NOT
EHHADH	0.678205312866582	1.51450683895759e-05	3.28246993556618e-05	NOT
EHMT1	-0.157026689289734	0.0621386459041819	0.0834341130286353	NOT
Ehmt2	-0.835162687403476	2.07444961230936e-13	1.05883066543859e-12	NOT
EI24	-0.548280215451266	2.06095020209407e-08	6.07535500221615e-08	NOT
EID1	0.0380425815047895	0.707704525944155	0.74764373431227	NOT
EID2	-0.196545512888108	0.0676730517907603	0.0903144111974581	NOT
EIF1	-0.772976977860948	8.36697974343087e-14	4.46047409451929e-13	NOT
EIF1AD	-1.09389484447	2.22748091680889e-14	1.25746540389774e-13	DOWN
EIF1AX	0.824522238546332	1.26974532389061e-16	9.22206463452016e-16	NOT
EIF1B	-0.52679844869716	3.63447526791284e-05	7.53614628577203e-05	NOT
Eif2a	0.437838882130127	2.89823724961942e-05	6.07875695565706e-05	NOT
Eif2ak1	0.501238586330733	0.000372912797763828	0.000681404984453755	NOT
EIF2AK2	1.15068293581985	0.0109527750584727	0.0164912100528254	UP
EIF2AK3	0.470356540042392	0.00311789543332537	0.00506911446456327	NOT
EIF2AK4	0.849976321307905	8.52532069623865e-21	1.01172168616425e-19	NOT
EIF2B1	-0.865225294067403	1.88695125320949e-10	6.9638273545392e-10	NOT
EIF2B2	-0.837666308122381	1.43637322911155e-08	4.30561704991353e-08	NOT
EIF2B3	-0.146387434617564	0.304962876230069	0.354799857028926	NOT
EIF2B4	-0.504491205763338	7.15968068608076e-06	1.60945519354431e-05	NOT
EIF2B5	-0.970450637643557	2.80770030809297e-12	1.26230988249556e-11	NOT
EIF2D	-0.320848418118198	0.00124913596414781	0.00213263942212319	NOT
EIF2S1	0.484068761395252	1.5586716342201e-07	4.18949804598774e-07	NOT
EIF2S2	0.424509327012388	1.84945010270274e-05	3.96875741416469e-05	NOT
Eif2s3	0.240957469512713	0.0151487809959681	0.0223885050066653	NOT
EIF3A	1.01416093256833	8.94421906170733e-27	2.23620636236008e-25	UP
EIF3B	-0.621178932345814	5.21315762653206e-15	3.16067768799731e-14	NOT
EIF3C	-0.680687939594518	4.87280881829393e-12	2.13734174483062e-11	NOT
EIF3D	-1.37344560453093	9.42130626777555e-22	1.24305625005328e-20	DOWN
EIF3E	0.173889547282246	0.117438509276357	0.14923634134524	NOT
EIF3F	-1.1562923579516	2.43014108886206e-23	3.96537734533233e-22	DOWN
EIF3G	-1.3690011376182	1.9099076705602e-20	2.16882586977933e-19	DOWN
Eif3h	-1.21265426118448	8.30700792046496e-22	1.10792652653507e-20	DOWN
Eif3i	-0.857001451488798	6.19893858321661e-11	2.40886572816197e-10	NOT
EIF3J	0.573789914348223	2.7243943607188e-13	1.37065283816381e-12	NOT
EIF3K	-1.64579442042863	3.19077094234555e-24	5.78219436984511e-23	DOWN
EIF3L	-1.22655163189223	1.99899209928619e-22	2.8937323313612e-21	DOWN
EIF3M	-0.513494865289567	9.20255387053082e-09	2.81632514821992e-08	NOT
EIF4A1	-0.727512990006387	3.00198038973957e-16	2.09669567845873e-15	NOT
EIF4A2	0.799545615793298	1.77608282655385e-09	5.90067517443601e-09	NOT
EIF4A3	-0.90200218611327	6.5913744539655e-15	3.95723909525621e-14	NOT
EIF4B	-0.271584379092498	0.0160121137511782	0.0235888035497483	NOT
EIF4E	1.1340556641275	9.5965933293619e-15	5.66690745401991e-14	UP
EIF4E1B	-0.045074593271735	0.957538747037882	0.965326275119997	NOT
EIF4E2	-1.18495040389255	1.7079827795949e-17	1.36926380335893e-16	DOWN
EIF4E3	1.44505448061707	2.80568115596294e-14	1.56826838694995e-13	UP
EIF4EBP1	-1.34500306464479	2.3301391243406e-20	2.61582056492757e-19	DOWN
EIF4EBP2	0.905333933936257	1.44976396305622e-06	3.51908313625839e-06	NOT
EIF4ENIF1	0.258154525863593	0.00553187837450964	0.00868647412203445	NOT
Eif4g1	0.091836803593846	0.459306359356726	0.51141516507179	NOT
EIF4G2	0.698848315944288	1.130955130082e-09	3.83246476541225e-09	NOT
EIF4G3	1.32700343547493	3.17838818733123e-30	1.13521559688433e-28	UP
EIF4H	-0.57247525420257	1.77359038313535e-17	1.4149395209102e-16	NOT
EIF5	0.222849500261516	0.0071540484646321	0.0110409467359058	NOT
EIF5A	-0.969311511221263	2.01845701613082e-31	8.53130643121653e-30	NOT
EIF5A2	3.80388424610431	1.74502935899395e-09	5.80797113594759e-09	UP
EIF5B	-0.127119107030819	0.248419529765241	0.294971945871937	NOT
EIF6	-1.26356806448376	3.79726796436517e-12	1.68613786099791e-11	DOWN
EIPR1	-1.16522129544356	7.4733194772228e-14	4.00723139253048e-13	DOWN
ELAC1	0.777174172405924	7.72290300793581e-14	4.13504690635431e-13	NOT
Elac2	0.00641132109059997	0.955633172777479	0.963602770636448	NOT
Elane	-0.434403329164936	0.431893330775256	0.484144579547519	NOT
ELAVL1	-0.334609945573001	7.52566951035749e-07	1.88122607943202e-06	NOT
ELAVL2	1.07821935077368	0.0704593706423754	0.0936769875029904	NOT
ELAVL3	-0.209440810257049	0.717514952145451	0.75643675379485	NOT
Elavl4	1.84075529692284	0.00686375379096437	0.0106195964097457	UP
ELF1	2.00246874695072	3.75963233734667e-11	1.49282198137821e-10	UP
ELF2	0.520220956571782	4.65942580493353e-09	1.47555152530216e-08	NOT
ELF3	0.100182582197603	0.89059961880828	0.908899610975573	NOT
ELF4	0.0198826331144812	0.869861406336373	0.891373782901552	NOT
ELFN1	-0.308816143173211	0.6756906973087	0.718096086892819	NOT
ELFN2	-0.166212025348919	0.717904587613558	0.756739357716707	NOT
Elk1	-0.118901832406379	0.371063916732975	0.423300525901989	NOT
Elk3	0.788563860159201	4.67121727584317e-06	1.07278726507804e-05	NOT
ELK4	3.55233841589619	2.50620601991258e-24	4.60386612699009e-23	UP
ELL	-0.639014497267554	2.9399212740542e-06	6.8967523399449e-06	NOT
ELL2	0.122704244320428	0.317861838377146	0.368267356102834	NOT
ELMO1	0.0147235174610759	0.922620366416318	0.935880417068292	NOT
ELMO2	0.150720590116088	0.0423987866344454	0.0585110395401538	NOT
ELMO3	-0.277370371497486	0.0219677437624884	0.0316760692317172	NOT
ELMOD1	0.829566770672838	0.00372946547265563	0.00599404501930085	NOT
ELMOD2	2.95403522665256	2.74059954502188e-27	7.1551475909058e-26	UP
ELMOD3	-0.82801365416278	1.73431209919436e-06	4.17109939894262e-06	NOT
ELN	-1.43271578223961	4.70692034785666e-44	6.42886870844755e-42	DOWN
Eloa	0.492189074808579	0.000617365033622541	0.00109984922837755	NOT
Elob	-1.43424051160033	5.26276610902629e-18	4.50296188365701e-17	DOWN
ELOC	0.253134900261335	0.0109974585807698	0.0165534195433607	NOT
ELOF1	-1.37840933653713	2.76242786204182e-16	1.93671926772713e-15	DOWN
ELOVL1	-0.430790217675616	0.000323423807018411	0.000595757314851221	NOT
ELOVL2	1.12173099988466	3.62041445310547e-08	1.04035160557381e-07	UP
ELOVL3	-1.22865327861514	0.193386982487832	0.234979520484185	NOT
ELOVL4	1.57824266243337	1.66471375726284e-05	3.5895618525631e-05	UP
Elovl5	-0.212214879185654	0.00117477792484655	0.00201397296789313	NOT
ELOVL6	0.369792359828713	0.163251270437942	0.201347783464054	NOT
Elovl7	1.19667166875497	0.000307970523758197	0.000568569861821923	UP
ELP1	0.949903915660682	3.40798120652236e-18	2.99232921294115e-17	NOT
Elp2	0.419386499629358	2.46688346748118e-05	5.21706064929246e-05	NOT
ELP3	-0.377551286478116	0.000322994062675557	0.000595114341559723	NOT
ELP4	-0.756621145053231	1.99995730539274e-08	5.9014543332363e-08	NOT
ELP5	-0.717765276125742	5.19438031329601e-06	1.18794269769658e-05	NOT
ELP6	0.0906290807923219	0.673581566849981	0.716401681839458	NOT
EMB	1.68776088869302	4.05719099572024e-06	9.38050538838076e-06	UP
EMC1	0.208505133189063	0.0429532172473646	0.059187567269115	NOT
EMC10	-1.30738420389274	8.01174924279181e-23	1.22340903809961e-21	DOWN
EMC2	-0.0751869933424278	0.488577564024555	0.540458016267432	NOT
EMC3	-0.205381133365162	0.0111555327323589	0.0167759469196683	NOT
EMC4	-0.161427252835194	0.0748514935754721	0.0989545063391099	NOT
EMC6	-0.375198406291088	0.00637957984704006	0.00992147415115318	NOT
Emc7	-0.314893555332597	0.00153501764037297	0.00259133042036412	NOT
EMC8	-1.32012351044249	7.92963097428393e-25	1.56168206277253e-23	DOWN
EMC9	-0.793929405755891	0.00194844899152208	0.00324690138657277	NOT
EMCN	0.425427310049678	0.0011963029353642	0.00204907856474191	NOT
Emd	-1.11550332559018	5.43732039209095e-16	3.68932442979455e-15	DOWN
EME1	-1.83302469110668	2.02193712965552e-09	6.67388556713997e-09	DOWN
EME2	-0.756826821963275	1.13137485364811e-11	4.7723507195205e-11	NOT
EMG1	-1.2647494431841	1.33010162755946e-20	1.54247870346931e-19	DOWN
EMID1	0.0823978022143643	0.578949571400142	0.628085984240899	NOT
