	logFC	AveExpr	t	P.Value	adj.P.Val	B
Chpf	0.127548507176794	4.80634510857301	1.4273803746382	0.183596871698974	0.999789400686269	-4.52855531600654
Ppp1r3e	-0.18124912538499	0.852538984434323	-1.42731224437492	0.183615999798794	0.999789400686269	-4.5286174120596
Ifngr2	-0.0947214801390326	3.85349279712333	-1.42713841496095	0.183664811463672	0.999789400686269	-4.52877583805602
Adat1	-0.155787487788721	1.78305179658989	-1.42705969015813	0.183686921198164	0.999789400686269	-4.52884758329761
Gpr50	-0.0865800332743657	0.0915204899985516	-1.42699591719277	0.183704833398968	0.999789400686269	-4.52890570066174
Rida	0.0926172309273358	3.2113477951427	1.42681826263313	0.18375473990062	0.999789400686269	-4.52906759249561
Rab3d	-0.188479333602041	4.05227900634337	-1.42671158388099	0.183784713526575	0.999789400686269	-4.52916480051895
Enoph1	0.104788766810899	2.93083342742222	1.42666937651194	0.183796573721697	0.999789400686269	-4.52920325966956
Clip3	-0.102110605820553	2.62196092584376	-1.42634107102508	0.183888849283264	0.999789400686269	-4.52950238813297
Slc16a11	-0.272502551803418	1.17547801314383	-1.42628765238994	0.183903867193716	0.999789400686269	-4.52955105569691
Vgll1	-0.0517623870527338	0.0529823882416572	-1.42628659175127	0.183904165388209	0.999789400686269	-4.52955202199161
Rpl12	-0.12919488627977	2.13533873834229	-1.42618638217637	0.183932340787205	0.999789400686269	-4.5296433160814
Gm26670	-0.10631146084145	0.339823978068404	-1.4261430168088	0.183944534741634	0.999789400686269	-4.52968282217987
Znrf2	-0.108321908729922	5.24880654942929	-1.42613881277661	0.183945716914661	0.999789400686269	-4.52968665204125
Stra6	0.162439870243201	7.02463242927029	1.42613656781169	0.183946348201013	0.999789400686269	-4.52968869719531
Dcp2	-0.0588839256157702	5.24881206336156	-1.4260017442312	0.183984264115353	0.999789400686269	-4.52981151760721
Mrpl37	0.108833570893926	3.15349245286908	1.42574892395209	0.184055381767176	0.999789400686269	-4.53004181195959
